id	GHG_Fang_definition	GHG_Kown_score	GHG_defined_by_bulge
cel-mir-795:MI0005196:in:none	0	57.43	1
cel-mir-796:MI0005197:in:none	0	80.11	0
cel-mir-797:MI0005198:in:none	NA	NA	0
cel-mir-80:MI0000051:in:none	0	34.63	0
cel-mir-81:MI0000052:in:none	0	38.42	0
cel-mir-82:MI0000053:in:none	0	18.95	0
cel-mir-83:MI0000054:in:none	0	18.3	0
cel-mir-86:MI0000057:in:none	1	88.88	1
cel-mir-87:MI0000058:in:none	0	14.26	0
cel-mir-90:MI0000059:in:none	0	30.35	0
dme-mir-1000:MI0005862:in:none	0	74.23	1
dme-mir-1001:MI0005863:in:none	1	41.75	0
dme-mir-1002:MI0005824:in:none	0	14.46	0
dme-mir-11:MI0000131:in:none	1	76.31	0
dme-mir-12:MI0000132:in:none	0	19.34	0
dme-mir-13a:MI0000133:in:none	1	99.31	0
dme-mir-13b-2:MI0000135:in:none	0	25.17	0
dme-mir-14:MI0000136:in:none	0	8.19	0
dme-mir-190:MI0005808:in:none	1	81.79	1
dme-mir-2279:MI0011289:in:none	0	40.05	0
dme-mir-2501:MI0011590:in:none	NA	NA	0
dme-mir-252:MI0005858:in:none	NA	NA	0
dme-mir-263b:MI0000383:in:none	0	33.45	0
dme-mir-274:MI0000355:in:none	0	45.69	0
dme-mir-275:MI0000356:in:none	1	99.31	0
dme-mir-276b:MI0000375:in:none	NA	NA	0
dme-mir-277:MI0000360:in:none	0	44.14	0
dme-mir-278:MI0000361:in:none	0	86.45	0
dme-mir-279:MI0000363:in:none	0	48.63	0
dme-mir-281-1:MI0000366:in:none	NA	NA	0
dme-mir-281-2:MI0000370:in:none	0	46.33	0
dme-mir-282:MI0000367:in:none	0	11.5	0
dme-mir-283:MI0000368:in:none	0	23.16	0
dme-mir-284:MI0000369:in:none	1	100	0
dme-mir-286:MI0000380:in:none	0	35.6	0
dme-mir-2a-1:MI0000117:in:none	1	100	0
dme-mir-2a-2:MI0000118:in:none	0	59.05	0
dme-mir-2b-1:MI0000119:in:none	1	86.45	1
dme-mir-2b-2:MI0000120:in:none	0	36.1	0
dme-mir-2c:MI0000431:in:none	0	64.62	1
dme-mir-3:MI0000121:in:none	0	57.04	0
dme-mir-303:MI0000409:in:none	0	20.88	0
dme-mir-304:MI0000411:in:none	0	10.81	1
dme-mir-305:MI0000412:in:none	1	57.43	0
dme-mir-306:MI0000414:in:none	NA	NA	0
dme-mir-307b:MI0011577:in:none	0	28.72	0
dme-mir-308:MI0000419:in:none	0	39.5	1
dme-mir-310:MI0000422:in:none	1	57.43	0
dme-mir-313:MI0000425:in:none	NA	NA	1
dme-mir-315:MI0000427:in:none	0	59.05	0
dme-mir-316:MI0000428:in:none	0	17.43	0
dme-mir-317:MI0000429:in:none	1	74.74	1
dme-mir-318:MI0000430:in:none	NA	NA	0
dme-mir-31a:MI0000420:in:none	0	10.66	0
dme-mir-33:MI0000364:in:none	1	76.31	0
dme-mir-34:MI0000371:in:none	0	66.43	0
dme-mir-375:MI0005813:in:none	0	36.1	1
dme-mir-4:MI0000122:in:none	1	81.23	1
dme-mir-4983:MI0017769:in:none	0	32.53	1
dme-mir-4984:MI0017770:in:none	0	33.45	0
dme-mir-5:MI0000123:in:none	0	64.62	1
dme-mir-6-1:MI0000124:in:none	0	22.22	1
dme-mir-6-2:MI0000125:in:none	1	64.62	0
dme-mir-6-3:MI0000126:in:none	0	38.16	0
dme-mir-79:MI0000374:in:none	0	45.38	0
dme-mir-87:MI0000382:in:none	0	35.6	0
dme-mir-927:MI0005843:in:none	0	42.04	0
dme-mir-929:MI0005853:in:none	0	14.36	1
dme-mir-92b:MI0000379:in:none	0	2.59	0
dme-mir-932:MI0005820:in:none	0	42.63	0
dme-mir-955:MI0005807:in:none	0	34.87	0
dme-mir-957:MI0005811:in:none	0	22.22	0
dme-mir-958:MI0005812:in:none	0	2.13	0
dme-mir-960:MI0005815:in:none	0	34.87	0
dme-mir-961:MI0005816:in:none	0	35.36	0
dme-mir-962:MI0005817:in:none	0	17.56	0
dme-mir-963:MI0005818:in:none	0	41.47	0
dme-mir-964:MI0005819:in:none	0	48.97	1
dme-mir-965:MI0005821:in:none	NA	NA	0
dme-mir-966:MI0005822:in:none	0	22.53	0
dme-mir-967:MI0005823:in:none	0	46.65	0
dme-mir-969:MI0005826:in:none	1	99.31	0
dme-mir-971:MI0005828:in:none	NA	NA	1
dme-mir-972:MI0005829:in:none	0	38.16	0
dme-mir-973:MI0005830:in:none	1	56.64	0
dme-mir-974:MI0005831:in:none	0	50.35	0
dme-mir-975:MI0005832:in:none	1	51.41	0
dme-mir-976:MI0005833:in:none	0	4.87	1
dme-mir-977:MI0005834:in:none	1	75.26	0
dme-mir-978:MI0005835:in:none	1	76.31	0
dme-mir-980:MI0005837:in:none	0	25.17	0
dme-mir-981:MI0005838:in:none	NA	NA	0
dme-mir-982:MI0005839:in:none	NA	NA	1
dme-mir-983-1:MI0005840:in:none	1	64.62	0
dme-mir-983-2:MI0005841:in:none	1	64.62	0
dme-mir-985:MI0005844:in:none	0	40.61	0
dme-mir-986:MI0005845:in:none	0	13.49	1
dme-mir-987:MI0005846:in:none	1	41.75	0
dme-mir-988:MI0005847:in:none	1	60.29	0
dme-mir-989:MI0005848:in:none	1	76.31	1
dme-mir-991:MI0005851:in:none	0	34.87	0
dme-mir-992:MI0005852:in:none	0	37.37	0
dme-mir-993:MI0005854:in:none	1	47.63	0
dme-mir-994:MI0005855:in:none	0	45.06	0
dme-mir-995:MI0005856:in:none	0	17.08	0
dme-mir-996:MI0005857:in:none	0	14.66	0
dme-mir-999:MI0005861:in:none	1	99.31	0
dme-mir-9b:MI0000415:in:none	1	75.26	0
dme-mir-9c:MI0000413:in:none	0	45.38	0
dme-mir-iab-8:MI0005805:in:none	0	38.96	0
hsa-mir-106a:MI0000113:in:none	0	10.88	1
hsa-mir-1193:MI0014205:in:none	NA	NA	0
hsa-mir-122:MI0000442:in:none	0	39.78	0
hsa-mir-124-1:MI0000443:in:none	0	6.43	1
hsa-mir-124-2:MI0000444:in:none	1	100	0
hsa-mir-124-3:MI0000445:in:none	0	40.9	1
hsa-mir-1247:MI0006382:in:none	1	74.23	0
hsa-mir-1251:MI0006386:in:none	1	75.26	0
hsa-mir-1264:MI0003758:in:none	0	12.76	0
hsa-mir-1283-1:MI0003832:in:none	0	4.24	0
hsa-mir-1283-2:MI0006430:in:none	0	13.68	0
hsa-mir-1295b:MI0019146:in:none	0	80.11	0
hsa-mir-1298:MI0003938:in:none	0	31.64	1
hsa-mir-130a:MI0000448:in:none	0	55.86	0
hsa-mir-135a-1:MI0000452:in:none	1	68.3	0
hsa-mir-135a-2:MI0000453:in:none	0	9.88	0
hsa-mir-138-2:MI0000455:in:none	0	21.02	0
hsa-mir-141:MI0000457:in:none	NA	NA	1
hsa-mir-146a:MI0000477:in:none	NA	NA	0
hsa-mir-149:MI0000478:in:none	0	43.53	0
hsa-mir-150:MI0000479:in:none	0	55.86	0
hsa-mir-155:MI0000681:in:none	0	25.53	0
hsa-mir-184:MI0000481:in:none	1	76.31	0
hsa-mir-1910:MI0008331:in:none	0	40.05	0
hsa-mir-1911:MI0008332:in:none	1	54.71	1
hsa-mir-1912:MI0008333:in:none	0	27.55	1
hsa-mir-1914:MI0008335:in:none	0	24.83	1
hsa-mir-195:MI0000489:in:none	1	41.75	0
hsa-mir-19b-2:MI0000075:in:none	1	99.31	0
hsa-mir-200a:MI0000737:in:none	0	18.69	0
hsa-mir-200c:MI0000650:in:none	0	50.35	0
hsa-mir-202:MI0003130:in:none	0	36.86	0
hsa-mir-205:MI0000285:in:none	NA	NA	0
hsa-mir-206:MI0000490:in:none	1	51.76	0
hsa-mir-208a:MI0000251:in:none	0	80.11	0
hsa-mir-208b:MI0005570:in:none	1	46.01	0
hsa-mir-20b:MI0001519:in:none	NA	NA	1
hsa-mir-211:MI0000287:in:none	0	7.97	0
hsa-mir-2115:MI0010634:in:none	0	66.43	0
hsa-mir-214:MI0000290:in:none	0	46.01	0
hsa-mir-216a:MI0000292:in:none	0	18.69	0
hsa-mir-218-2:MI0000295:in:none	0	28.72	0
hsa-mir-219a-2:MI0000740:in:none	1	63.29	1
hsa-mir-223:MI0000300:in:none	1	76.31	1
hsa-mir-2467:MI0017432:in:none	0	14.87	0
hsa-mir-302a:MI0000738:in:none	0	34.87	0
hsa-mir-302b:MI0000772:in:none	NA	NA	0
hsa-mir-302c:MI0000773:in:none	0	40.05	0
hsa-mir-302d:MI0000774:in:none	1	87.66	1
hsa-mir-3136:MI0014158:in:none	0	59.05	0
hsa-mir-3145:MI0014170:in:none	1	71.7	0
hsa-mir-3180-2:MI0014215:in:none	0	55.86	0
hsa-mir-323a:MI0000807:in:none	NA	NA	0
hsa-mir-323b:MI0014206:in:none	0	18.3	0
hsa-mir-325:MI0000824:in:none	1	56.64	0
hsa-mir-34b:MI0000742:in:none	0	19.61	0
hsa-mir-3591:MI0017383:in:none	NA	NA	1
hsa-mir-3617:MI0016007:in:none	0	64.62	1
hsa-mir-363:MI0000764:in:none	1	74.74	1
hsa-mir-3663:MI0016064:in:none	0	23.98	0
hsa-mir-367:MI0000775:in:none	0	34.87	1
hsa-mir-371a:MI0000779:in:none	NA	NA	1
hsa-mir-372:MI0000780:in:none	NA	NA	1
hsa-mir-373:MI0000781:in:none	0	14.26	0
hsa-mir-380:MI0000788:in:none	0	21.32	0
hsa-mir-383:MI0000791:in:none	0	28.72	0
hsa-mir-3924:MI0016432:in:none	0	42.63	0
hsa-mir-3942:MI0016599:in:none	0	27.93	0
hsa-mir-412:MI0002464:in:none	0	41.75	0
hsa-mir-448:MI0001637:in:none	0	41.75	0
hsa-mir-449c:MI0003823:in:none	0	21.17	1
hsa-mir-452:MI0001733:in:none	0	34.63	0
hsa-mir-4524a:MI0016891:in:none	0	51.76	0
hsa-mir-4662b:MI0017293:in:none	0	40.05	0
hsa-mir-4731:MI0017368:in:none	1	41.75	0
hsa-mir-483:MI0002467:in:none	0	39.23	0
hsa-mir-488:MI0003123:in:none	1	57.43	0
hsa-mir-490:MI0003125:in:none	1	65.07	0
hsa-mir-498:MI0003142:in:none	0	27.55	0
hsa-mir-499a:MI0003183:in:none	0	36.1	1
hsa-mir-506:MI0003193:in:none	0	63.29	0
hsa-mir-508:MI0003195:in:none	0	63.29	1
hsa-mir-509-1:MI0003196:in:none	0	34.15	0
hsa-mir-509-2:MI0005530:in:none	0	34.15	0
hsa-mir-510:MI0003197:in:none	0	9.34	0
hsa-mir-512-1:MI0003140:in:none	0	16.49	0
hsa-mir-512-2:MI0003141:in:none	0	16.49	0
hsa-mir-513a-1:MI0003191:in:none	0	63.29	1
hsa-mir-513a-2:MI0003192:in:none	0	63.29	1
hsa-mir-513b:MI0006648:in:none	0	63.29	1
hsa-mir-513c:MI0006649:in:none	0	63.29	1
hsa-mir-514a-1:MI0003198:in:none	0	86.45	1
hsa-mir-514b:MI0014251:in:none	0	86.45	1
hsa-mir-515-1:MI0003144:in:none	0	27.17	0
hsa-mir-515-2:MI0003147:in:none	0	27.17	0
hsa-mir-516a-1:MI0003180:in:none	1	68.3	0
hsa-mir-516a-2:MI0003181:in:none	1	68.3	0
hsa-mir-516b-2:MI0003167:in:none	NA	NA	1
hsa-mir-517a:MI0003161:in:none	1	42.93	0
hsa-mir-517b:MI0003165:in:none	0	32.76	1
hsa-mir-517c:MI0003174:in:none	1	42.93	0
hsa-mir-518a-1:MI0003170:in:none	0	10.66	0
hsa-mir-518a-2:MI0003173:in:none	0	13.68	0
hsa-mir-518b:MI0003156:in:none	1	68.3	0
hsa-mir-518c:MI0003159:in:none	1	68.3	0
hsa-mir-518d:MI0003171:in:none	1	68.3	0
hsa-mir-518e:MI0003169:in:none	0	27.55	1
hsa-mir-519a-1:MI0003178:in:none	0	32.76	1
hsa-mir-519a-2:MI0003182:in:none	0	32.76	1
hsa-mir-519b:MI0003151:in:none	0	27.17	0
hsa-mir-519c:MI0003148:in:none	0	46.01	0
hsa-mir-519d:MI0003162:in:none	1	74.74	1
hsa-mir-519e:MI0003145:in:none	0	27.17	0
hsa-mir-520a:MI0003149:in:none	0	28.92	0
hsa-mir-520b:MI0003155:in:none	0	17.8	0
hsa-mir-520c:MI0003158:in:none	0	17.8	0
hsa-mir-520d:MI0003164:in:none	1	68.3	0
hsa-mir-520e:MI0003143:in:none	0	27.17	0
hsa-mir-520f:MI0003146:in:none	1	74.74	1
hsa-mir-520h:MI0003175:in:none	0	16.72	0
hsa-mir-521-1:MI0003176:in:none	1	74.74	1
hsa-mir-521-2:MI0003163:in:none	1	74.74	1
hsa-mir-522:MI0003177:in:none	NA	NA	0
hsa-mir-523:MI0003153:in:none	0	17.8	0
hsa-mir-524:MI0003160:in:none	1	68.3	0
hsa-mir-525:MI0003152:in:none	1	68.3	0
hsa-mir-526a-1:MI0003157:in:none	0	27.17	0
hsa-mir-526a-2:MI0003168:in:none	0	27.17	0
hsa-mir-526b:MI0003150:in:none	0	27.17	0
hsa-mir-527:MI0003179:in:none	0	10.66	0
hsa-mir-541:MI0005539:in:none	0	65.52	0
hsa-mir-552:MI0003557:in:none	1	76.31	0
hsa-mir-5683:MI0019284:in:none	0	46.98	1
hsa-mir-5687:MI0019291:in:none	0	38.96	0
hsa-mir-584:MI0003591:in:none	0	38.42	0
hsa-mir-599:MI0003611:in:none	NA	NA	0
hsa-mir-642b:MI0016685:in:none	0	48.63	0
hsa-mir-6715a:MI0022548:in:none	0	35.6	0
hsa-mir-7-2:MI0000264:in:none	0	12.24	0
hsa-mir-802:MI0003906:in:none	0	30.35	0
hsa-mir-875:MI0005541:in:none	0	34.15	0
hsa-mir-885:MI0005560:in:none	0	19.89	1
hsa-mir-887:MI0005562:in:none	0	34.15	0
hsa-mir-888:MI0005537:in:none	0	46.33	1
hsa-mir-892a:MI0005528:in:none	0	46.33	1
hsa-mir-892c:MI0022560:in:none	0	10.81	1
hsa-mir-92a-2:MI0000094:in:none	0	61.99	1
hsa-mir-934:MI0005756:in:none	0	41.47	0
mmu-let-7c-2:MI0000560:in:none	1	60.29	0
mmu-mir-105:MI0005481:in:none	NA	NA	0
mmu-mir-1198:MI0006306:in:none	0	20.45	0
mmu-mir-124-2:MI0000717:in:none	1	100	0
mmu-mir-1929:MI0009918:in:none	0	42.04	0
mmu-mir-1930:MI0009919:in:none	1	76.31	0
mmu-mir-1933:MI0009922:in:none	0	41.47	0
mmu-mir-1934:MI0009923:in:none	0	21.61	0
mmu-mir-1941:MI0009930:in:none	0	50.35	0
mmu-mir-1943:MI0009932:in:none	0	27.55	0
mmu-mir-1947:MI0009937:in:none	0	1.55	1
mmu-mir-1948:MI0009939:in:none	1	56.64	0
mmu-mir-1953:MI0009948:in:none	NA	NA	0
mmu-mir-1955:MI0009950:in:none	0	51.05	0
mmu-mir-1958:MI0009955:in:none	0	45.06	0
mmu-mir-1960:MI0009957:in:none	NA	NA	0
mmu-mir-1962:MI0009959:in:none	1	42.93	0
mmu-mir-1964:MI0009961:in:none	1	56.64	0
mmu-mir-196a-1:MI0000552:in:none	NA	NA	1
mmu-mir-201:MI0000244:in:none	0	63.29	1
mmu-mir-291a:MI0000389:in:none	1	61.99	0
mmu-mir-291b:MI0003539:in:none	1	42.93	0
mmu-mir-293:MI0000391:in:none	1	74.74	1
mmu-mir-295:MI0000393:in:none	0	26.98	0
mmu-mir-298:MI0000398:in:none	0	40.33	1
mmu-mir-3057:MI0014020:in:none	1	58.64	1
mmu-mir-3058:MI0004418:in:none	0	11.74	0
mmu-mir-3059:MI0004412:in:none	0	50.7	1
mmu-mir-3060:MI0014022:in:none	0	11.5	0
mmu-mir-3061:MI0014023:in:none	1	68.3	0
mmu-mir-3066:MI0014028:in:none	0	21.46	0
mmu-mir-3067:MI0014029:in:none	0	16.96	0
mmu-mir-3068:MI0014030:in:none	0	39.78	0
mmu-mir-3072:MI0014035:in:none	0	45.06	0
mmu-mir-3073a:MI0014036:in:none	1	41.75	0
mmu-mir-3073b:MI0019192:in:none	1	41.75	0
mmu-mir-3075:MI0014038:in:none	1	60.29	0
mmu-mir-3079:MI0014042:in:none	0	41.47	0
mmu-mir-3080:MI0014043:in:none	0	30.57	0
mmu-mir-3081:MI0014044:in:none	0	10.15	0
mmu-mir-3085:MI0014048:in:none	0	38.96	0
mmu-mir-3086:MI0014049:in:none	0	25.17	0
mmu-mir-3090:MI0014083:in:none	0	17.08	0
mmu-mir-3091:MI0014084:in:none	1	100	0
mmu-mir-3092:MI0014085:in:none	0	41.75	0
mmu-mir-3095:MI0014088:in:none	0	58.64	0
mmu-mir-3098:MI0014091:in:none	0	8.72	0
mmu-mir-3099:MI0004485:in:none	0	43.53	0
mmu-mir-3101:MI0014093:in:none	0	48.3	0
mmu-mir-3105:MI0014102:in:none	0	28.72	0
mmu-mir-3109:MI0014106:in:none	0	23.98	0
mmu-mir-3110:MI0014107:in:none	0	22.53	0
mmu-mir-3112:MI0014109:in:none	NA	NA	1
mmu-mir-350:MI0000640:in:none	NA	NA	0
mmu-mir-351:MI0000643:in:none	1	46.01	0
mmu-mir-449c:MI0004645:in:none	0	6.08	0
mmu-mir-450a-2:MI0003537:in:none	0	51.76	0
mmu-mir-451a:MI0001730:in:none	0	59.05	0
mmu-mir-463:MI0002398:in:none	0	32.31	1
mmu-mir-465a:MI0002400:in:none	0	46.33	1
mmu-mir-470:MI0002405:in:none	0	35.11	1
mmu-mir-471:MI0002406:in:none	0	46.33	1
mmu-mir-486a:MI0003493:in:none	0	41.75	0
mmu-mir-489:MI0003476:in:none	0	32.53	1
mmu-mir-540:MI0003518:in:none	NA	NA	1
mmu-mir-541:MI0003521:in:none	0	63.73	1
mmu-mir-547:MI0003523:in:none	NA	NA	0
mmu-mir-5626:MI0019195:in:none	1	56.64	0
mmu-mir-666:MI0004553:in:none	0	35.6	0
mmu-mir-667:MI0004196:in:none	0	11.99	0
mmu-mir-672:MI0004258:in:none	0	16.38	0
mmu-mir-673:MI0004601:in:none	0	10.15	0
mmu-mir-674:MI0004611:in:none	0	45.06	0
mmu-mir-700:MI0004684:in:none	1	41.75	0
mmu-mir-701:MI0004685:in:none	0	20.45	0
mmu-mir-741:MI0005205:in:none	0	17.43	0
mmu-mir-742:MI0005206:in:none	0	35.11	1
mmu-mir-743a:MI0005207:in:none	0	10.81	1
mmu-mir-743b:MI0005470:in:none	0	46.33	1
mmu-mir-7a-2:MI0000729:in:none	0	12.24	0
mmu-mir-871:MI0005471:in:none	0	63.29	1
mmu-mir-872:MI0005549:in:none	0	24.83	1
mmu-mir-878:MI0005548:in:none	0	16.38	1
mmu-mir-879:MI0005472:in:none	1	61.99	0
mmu-mir-880:MI0005473:in:none	0	16.49	1
mmu-mir-881:MI0005474:in:none	0	63.29	1
mmu-mir-883a:MI0005476:in:none	0	16.49	1
mmu-mir-883b:MI0005477:in:none	0	24.49	1
mmu-mir-9-2:MI0000157:in:none	0	48.63	0
mmu-mir-9-3:MI0000721:in:none	0	45.69	0
mmu-mir-92a-1:MI0000719:in:none	0	14.87	0
