GHG_Fang_definition	GHG_Kown_score	GHG_defined_by_bulge
Hsa-Mir-27-P1	0	24.83	1
Hsa-Mir-27-P2	0	19.34	0
Hsa-Mir-28-P1	0	66.43	0
Hsa-Mir-28-P2	0	40.05	0
Hsa-Mir-28-P3	0	66.43	0
Hsa-Mir-29-P1a	0	2.76	0
Hsa-Mir-29-P1b	NA	NA	0
Hsa-Mir-29-P2a	0	34.87	0
Hsa-Mir-29-P2b-v1	0	26.79	0
Hsa-Mir-296	1	56.64	0
Hsa-Mir-30-P1a	0	23.82	1
Hsa-Mir-30-P1b	NA	NA	1
Hsa-Mir-30-P1c	1	74.74	1
Hsa-Mir-30-P2a	1	42.93	0
Hsa-Mir-30-P2b	1	61.99	0
Hsa-Mir-30-P2c	1	42.93	0
Hsa-Mir-3059	0	50.7	1
Hsa-Mir-3085	0	38.96	0
Hsa-Mir-31	0	41.75	0
Hsa-Mir-3126	0	46.65	0
Hsa-Mir-3127	0	17.19	0
Hsa-Mir-3136	0	59.05	0
Hsa-Mir-3138	0	40.05	0
Hsa-Mir-3140	1	51.41	0
Hsa-Mir-3144-v1	0	26.24	0
Hsa-Mir-3145	1	71.7	0
Hsa-Mir-3146	1	64.62	0
Hsa-Mir-3173	0	32.53	1
Hsa-Mir-3174	0	72.2	0
Hsa-Mir-3180-P1	0	55.86	0
Hsa-Mir-3180-P2	0	55.86	0
Hsa-Mir-3180-P3	0	55.86	0
Hsa-Mir-3187	0	27.93	0
Hsa-Mir-3194	0	34.15	0
Hsa-Mir-32	0	34.15	0
Hsa-Mir-3200	0	12.07	0
Hsa-Mir-324	0	74.23	1
Hsa-Mir-325	1	56.64	0
Hsa-Mir-326	0	79	0
Hsa-Mir-328	0	19.61	0
Hsa-Mir-33-P1	0	61.56	1
Hsa-Mir-33-P2	0	40.9	1
Hsa-Mir-330-v1	1	76.31	1
Hsa-Mir-331	0	48.63	0
Hsa-Mir-335	0	44.14	1
Hsa-Mir-337-v1	0	50.35	0
Hsa-Mir-338-P1	0	40.05	0
Hsa-Mir-339	0	0.8	0
Hsa-Mir-34-P1	0	23	0
Hsa-Mir-34-P2a	0	19.61	0
Hsa-Mir-34-P2b	0	35.11	1
Hsa-Mir-34-P3a	0	46.65	0
Hsa-Mir-34-P3b	0	63.73	1
Hsa-Mir-34-P3c	0	21.17	1
Hsa-Mir-340	0	34.15	0
Hsa-Mir-342	1	53.22	0
Hsa-Mir-345	NA	NA	0
Hsa-Mir-346	0	42.93	0
Hsa-Mir-361-v1	0	26.98	0
Hsa-Mir-3611	0	21.17	1
Hsa-Mir-3613	0	40.05	1
Hsa-Mir-3617	0	64.62	1
Hsa-Mir-3619	1	60.29	0
Hsa-Mir-362-P1	0	40.05	0
Hsa-Mir-362-P2-v1	0	52.85	1
Hsa-Mir-362-P3	0	40.05	0
Hsa-Mir-362-P4	0	40.05	0
Hsa-Mir-362-P5	0	43.53	0
Hsa-Mir-3622	0	50.35	0
Hsa-Mir-3663	0	23.98	0
Hsa-Mir-3690	1	57.43	0
Hsa-Mir-370	0	16.04	0
Hsa-Mir-374-P1	1	63.29	1
Hsa-Mir-374-P2	1	40.9	0
Hsa-Mir-375	0	23.33	1
Hsa-Mir-376-P1	0	31.64	1
Hsa-Mir-376-P2	0	31.64	1
Hsa-Mir-376-P3	0	31.64	1
Hsa-Mir-376-P4	0	31.64	1
Hsa-Mir-378	0	40.9	1
Hsa-Mir-383-v1	0	28.72	0
Hsa-Mir-3909	0	8.6	0
Hsa-Mir-3924	0	42.63	0
Hsa-Mir-3934	0	38.42	0
Hsa-Mir-3940	0	20.45	0
Hsa-Mir-3942	0	27.93	0
Hsa-Mir-3944	1	42.93	0
Hsa-Mir-423	0	11.74	0
Hsa-Mir-425	0	18.56	0
Hsa-Mir-430-P1	0	46.65	1
Hsa-Mir-430-P11a	1	68.3	0
Hsa-Mir-430-P11b	1	68.3	0
Hsa-Mir-430-P13	0	27.17	0
Hsa-Mir-430-P14	NA	NA	0
Hsa-Mir-430-P15a	1	42.93	0
Hsa-Mir-430-P15b	0	32.76	1
Hsa-Mir-430-P15c	1	42.93	0
Hsa-Mir-430-P18	0	10.66	0
Hsa-Mir-430-P19	1	68.3	0
Hsa-Mir-430-P2	NA	NA	0
Hsa-Mir-430-P20	1	68.3	0
Hsa-Mir-430-P21	1	68.3	0
Hsa-Mir-430-P22	1	68.3	0
Hsa-Mir-430-P23	0	27.55	1
Hsa-Mir-430-P24	0	27.17	0
Hsa-Mir-430-P25	0	32.76	1
Hsa-Mir-430-P26	0	32.76	1
Hsa-Mir-430-P27	0	27.17	0
Hsa-Mir-430-P28	0	46.01	0
Hsa-Mir-430-P29	1	74.74	1
Hsa-Mir-430-P3	0	40.05	0
Hsa-Mir-430-P30	0	27.17	0
Hsa-Mir-430-P31	0	28.92	0
Hsa-Mir-430-P32	1	74.74	1
Hsa-Mir-430-P33	0	17.8	0
Hsa-Mir-430-P34	1	68.3	0
Hsa-Mir-430-P35	0	32.76	1
Hsa-Mir-430-P36	1	74.74	1
Hsa-Mir-430-P37a	0	19.21	0
Hsa-Mir-430-P37b	0	19.21	0
Hsa-Mir-430-P39a	1	74.74	1
Hsa-Mir-430-P39b	1	74.74	1
Hsa-Mir-430-P4	1	87.66	1
Hsa-Mir-430-P41	NA	NA	0
Hsa-Mir-430-P42	0	17.8	0
Hsa-Mir-430-P43	1	68.3	0
Hsa-Mir-430-P44	1	68.3	0
Hsa-Mir-430-P45	0	27.17	0
Hsa-Mir-430-P46	0	27.17	0
Hsa-Mir-430-P47	0	27.17	0
Hsa-Mir-430-P48	0	10.66	0
Hsa-Mir-430-P49	1	25.35	1
Hsa-Mir-430-P5	NA	NA	1
Hsa-Mir-430-P50	1	68.3	0
Hsa-Mir-430-P6	NA	NA	1
Hsa-Mir-430-P7	0	32.76	1
Hsa-Mir-430-P8a	0	7.18	1
Hsa-Mir-430-P8b	0	7.18	1
Hsa-Mir-430-P9a	0	27.17	0
Hsa-Mir-430-P9b	0	27.17	0
Hsa-Mir-431	0	66.43	0
Hsa-Mir-432	1	46.01	0
Hsa-Mir-433	0	41.75	0
Hsa-Mir-4424	1	76.31	0
Hsa-Mir-448	0	41.75	0
Hsa-Mir-450-P1	0	38.16	0
Hsa-Mir-450-P2	0	38.16	0
Hsa-Mir-450-P3	0	42.63	0
Hsa-Mir-452-v1	1	76.31	0
Hsa-Mir-4524	0	51.76	0
Hsa-Mir-455	0	15.5	0
Hsa-Mir-459	0	30.35	0
Hsa-Mir-4637	0	59.05	0
Hsa-Mir-4661	0	72.2	0
Hsa-Mir-4662	0	70.71	1
Hsa-Mir-4664	NA	NA	0
Hsa-Mir-4677	0	28.13	0
Hsa-Mir-4731	1	41.75	0
Hsa-Mir-4766	0	26.43	0
Hsa-Mir-483	0	45.06	0
Hsa-Mir-486	0	28.52	0
Hsa-Mir-488	1	57.43	0
Hsa-Mir-489-v1	0	32.53	1
Hsa-Mir-490	1	65.07	0
Hsa-Mir-491	0	13.12	0
Hsa-Mir-493	1	42.93	0
Hsa-Mir-498	0	27.55	0
Hsa-Mir-499	0	36.1	1
Hsa-Mir-5000	0	13.03	0
Hsa-Mir-5010	0	7.13	0
Hsa-Mir-504-v1	0	46.01	0
Hsa-Mir-505-v1	0	38.42	0
Hsa-Mir-506-P1	0	63.29	0
Hsa-Mir-506-P10	0	46.33	1
Hsa-Mir-506-P11	0	46.33	1
Hsa-Mir-506-P12	0	24.49	1
Hsa-Mir-506-P13	0	10.81	1
Hsa-Mir-506-P2	0	63.29	0
Hsa-Mir-506-P3	0	63.29	1
Hsa-Mir-506-P4a1	0	34.15	0
Hsa-Mir-506-P4a2	0	34.15	0
Hsa-Mir-506-P4b	0	34.15	0
Hsa-Mir-506-P5	0	9.34	0
Hsa-Mir-506-P6a1	0	63.29	1
Hsa-Mir-506-P6a2	0	63.29	1
Hsa-Mir-506-P6b	0	63.29	1
Hsa-Mir-506-P6c	0	63.29	1
Hsa-Mir-506-P7a	0	86.45	1
Hsa-Mir-506-P7b	0	86.45	1
Hsa-Mir-506-P7c	0	86.45	1
Hsa-Mir-506-P8	0	86.45	1
Hsa-Mir-506-P9	0	46.33	1
Hsa-Mir-511	0	11.83	1
Hsa-Mir-541	0	65.52	0
Hsa-Mir-542-v1	0	39.78	0
Hsa-Mir-544	NA	NA	0
Hsa-Mir-550-P1	NA	NA	0
Hsa-Mir-550-P2	1	41.75	0
Hsa-Mir-550-P3	NA	NA	0
Hsa-Mir-551-P1	0	59.05	0
Hsa-Mir-551-P2	0	59.05	0
Hsa-Mir-552	1	76.31	0
Hsa-Mir-556	0	41.47	0
Hsa-Mir-5579	0	57.04	0
Hsa-Mir-5581	0	21.46	0
Hsa-Mir-5586	0	66.43	0
Hsa-Mir-561	1	42.93	0
Hsa-Mir-5683	0	46.98	1
Hsa-Mir-5687	0	38.96	0
Hsa-Mir-574	0	50.35	0
Hsa-Mir-576	0	24.49	0
Hsa-Mir-577	0	31.86	0
Hsa-Mir-579	0	38.16	0
Hsa-Mir-580	1	74.23	0
Hsa-Mir-582	0	38.96	0
Hsa-Mir-584	0	38.42	0
Hsa-Mir-585	0	59.05	0
Hsa-Mir-589	1	42.93	0
Hsa-Mir-590	1	42.93	0
Hsa-Mir-592	1	57.43	0
Hsa-Mir-597	0	18.17	0
Hsa-Mir-598	0	57.04	0
Hsa-Mir-599	1	42.93	0
Hsa-Mir-605-v1	0	30.35	0
Hsa-Mir-615	NA	NA	1
Hsa-Mir-616	0	34.63	0
Hsa-Mir-624	1	65.07	0
Hsa-Mir-628	1	56.64	0
Hsa-Mir-629	0	45.06	0
Hsa-Mir-642	0	44.14	0
Hsa-Mir-651	0	19.75	1
Hsa-Mir-652	0	28.13	0
Hsa-Mir-653	0	64.62	0
Hsa-Mir-670	NA	NA	1
Hsa-Mir-671	0	42.63	0
Hsa-Mir-6715	0	35.6	0
Hsa-Mir-675	1	42.93	0
Hsa-Mir-676	0	28.13	0
Hsa-Mir-7-P1	0	64.62	1
Hsa-Mir-7-P2	1	87.66	1
Hsa-Mir-7-P3	1	100	0
Hsa-Mir-7151	0	66.43	0
Hsa-Mir-744	0	25.7	0
Hsa-Mir-760	0	14.87	0
Hsa-Mir-766	0	50.35	0
Hsa-Mir-769	0	38.96	0
Hsa-Mir-770	NA	NA	1
Hsa-Mir-7854	0	43.53	0
Hsa-Mir-8-P1a	0	18.69	0
Hsa-Mir-8-P1b	NA	NA	1
Hsa-Mir-8-P2a	0	31.86	0
Hsa-Mir-8-P2b	0	50.35	0
Hsa-Mir-8-P3a	0	57.04	0
Hsa-Mir-873-v1	0	34.63	1
Hsa-Mir-874	0	40.61	0
Hsa-Mir-875	0	34.15	0
Hsa-Mir-876	0	20.03	0
Hsa-Mir-885	0	19.89	1
Hsa-Mir-887	0	34.15	0
Hsa-Mir-9-P1	NA	NA	0
Hsa-Mir-9-P2	0	48.63	0
Hsa-Mir-9-P3	0	45.69	0
Hsa-Mir-92-P1a	0	14.87	0
Hsa-Mir-92-P1b	0	61.99	1
Hsa-Mir-92-P1c	0	50.35	0
Hsa-Mir-92-P2a	0	34.87	1
Hsa-Mir-92-P2b	1	74.74	1
Hsa-Mir-92-P2c	0	46.01	0
Hsa-Mir-934	0	39.23	0
Hsa-Mir-935-v1	NA	NA	0
Hsa-Mir-944	1	76.31	0
Hsa-Mir-95-P1	0	34.15	0
Hsa-Mir-95-P2	0	17.8	0
Hsa-Mir-95-P3-v1	0	47.63	0
Hsa-Mir-95-P4	0	12.76	0
Hsa-Mir-96-P1	0	41.47	1
Hsa-Mir-96-P2	0	43.53	0
Hsa-Mir-96-P3-v1	1	65.07	0
Hsa-Mir-9851	NA	NA	0
